NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,11,,,,,,
"Simone M. Mantovani","MANTOVANI, S. M.","2","3757023450938992",,11,,,,,,
"Lucimar Pinheiro","Pinheiro, L.","1","4897230391643111",,12,,,,,,
"Luciana Gonzaga de Oliveira","Oliveira, Luciana G. de","2","",,12,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","3","6882578512943651",,12,,,,,,
"Fernández, Layla","Fernández, Layla","1","",,13,,,,,,
"Jiao, Ning","Jiao, Ning","2","",,13,,,,,,
"Soni, Pankaj","Soni, Pankaj","3","",,13,,,,,,
"Gumulya, Yosephine","Gumulya, Yosephine","4","",,13,,,,,,
"Luciana Gonzaga de Oliveira","de Oliveira, Luciana Gonzaga","5","",,13,,,,,,
"Reetz, Manfred T.","Reetz, Manfred T.","6","",,13,,,,,,
"Mantovani, Simone M.","Mantovani, Simone M.","1","3757023450938992",,14,,,,,,
"Luciana Gonzaga de Oliveira","Oliveira, Luciana G. de","2","",,14,,,,,,
"Marsaioli, Anita J.","Marsaioli, Anita J.","3","6882578512943651",,14,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,15,,,,,,
"TORMET GONZALEZ, G. D.","TORMET GONZALEZ, G. D.","2","",,15,,,,,,
"Markyian Samborsky","SAMBORSKY, M.","3","",,15,,,,,,
"Joelma Marcon","MARCON, J.","4","",,15,,,,,,
"Welington L. Araujo","ARAUJO, W. L.","5","8146122736393267",,15,,,,,,
"DE AZEVEDO, J. L.","DE AZEVEDO, J. L.","6","",,15,,,,,,
"Cruz, Georgiana F.","Cruz, Georgiana F.","1","1820045548668605",,16,,,,,,
"Angolini, Célio F. F.","Angolini, Célio F. F.","2","8380443920606522",,16,,,,,,
"Luciana Gonzaga de Oliveira","OLIVEIRA, LUCIANA G.","3","",,16,,,,,,
"Lopes, Patrícia F.","Lopes, Patrícia F.","4","1482887281988190",,16,,,,,,
"Vasconcellos, Suzan P.","Vasconcellos, Suzan P.","5","4254240006926714",,16,,,,,,
"Crespim, Elaine","Crespim, Elaine","6","6951184770038269",,16,,,,,,
"Oliveira, Valéria M.","Oliveira, Valéria M.","7","3886687872358496",,16,,,,,,
"Santos Neto, Eugênio V.","Santos Neto, Eugênio V.","8","",,16,,,,,,
"Marsaioli, Anita J.","Marsaioli, Anita J.","9","6882578512943651",,16,,,,,,
"LUHAVAYA, HANNA","LUHAVAYA, HANNA","1","",,17,,,,,,
"WILLIAMS, SIMON R.","WILLIAMS, SIMON R.","2","",,17,,,,,,
"HONG, HUI","HONG, HUI","3","",,17,,,,,,
"Luciana Gonzaga de Oliveira","GONZAGA DE OLIVEIRA, LUCIANA","4","",,17,,,,,,
"LEADLAY, PETER F.","LEADLAY, PETER F.","5","",,17,,,,,,
"Pedro Luís Rocha da Cruz","CRUZ, P. L. R.","1","8637795233593309",,18,,,,,,
"Leila Giarola","GIAROLA, L.","2","",,18,,,,,,
"Suéllen da Silva Moraes","Moraes S. S.","3","",,18,,,,,,
"Déborah Ellen S. G. da Silva","SILVA, D. E. S. G.","4","",,18,,,,,,
"Joelma Marcon","MARCON, J.","5","",,18,,,,,,
"João Lucio de Azevedo","AZEVEDO, J. L.","6","",,18,,,,,,
"Welington L. Araujo","ARAUJO, W. L.","7","8146122736393267",,18,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","8","",,18,,,,,,
"SIGRIST, RENATA","SIGRIST, RENATA","1","",,19,,,,,,
"DA COSTA, BRUNA ZUCOLOTO","DA COSTA, BRUNA ZUCOLOTO","2","",,19,,,,,,
"MARSAIOLI, ANITA JOCELYNE","MARSAIOLI, ANITA JOCELYNE","3","6882578512943651",,19,,,,,,
"Luciana Gonzaga de Oliveira","de Oliveira, Luciana Gonzaga","4","",,19,,,,,,
"ANGOLINI, CÉLIO FERNANDO FIGUEIREDO","ANGOLINI, CÉLIO FERNANDO FIGUEIREDO","1","8380443920606522",,20,,,,,,
"VENDRAMINI, PEDRO HENRIQUE","VENDRAMINI, PEDRO HENRIQUE","2","1929064526568690",,20,,,,,,
"DA SILVA ARAUJO, FRANCISCA DIANA","DA SILVA ARAUJO, FRANCISCA DIANA","3","",,20,,,,,,
"ARAÚJO, WELINGTON L.","ARAÚJO, WELINGTON L.","4","8146122736393267",,20,,,,,,
"AUGUSTI, RODINEI","AUGUSTI, RODINEI","5","3784094744916006",,20,,,,,,
