NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,TRABALHO-TECNICO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"Miguel Juan Bacic","BACIC, M. J.","6","8997803246951593",,3,,,,,
"Antonio Robles Júnior","ROBLES JUNIOR, A.","7","4447961036109424",,3,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","8","7916021882928474",,3,,,,,
"Miguel Juan Bacic","BACIC, M. J.","1","8997803246951593",,4,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,4,,,,,
"Maria Carolina de Azevedo Ferreira de Souza","SOUZA, M. C. A. F.","3","2252148601836019",,4,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,5,,,,,
"Geraldo Sant'Ana de Camargo Barros","BARROS, G. S. C.","2","8404786723177950",,5,,,,,
"Maciel, Leandro dos Santos","Maciel, Leandro dos Santos","1","",,6,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,6,,,,,
"Ballini, Rosangela","Ballini, Rosangela","2","1766558858445284",,6,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,7,,,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","2","1114037512202812",,7,,,,,
"JOSÉ CESAR CRUZ JÚNIOR","JOSÉ CESAR CRUZ JÚNIOR","3","0086426315229286",,7,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,8,,,,,
"Alexandre Gori Maia","Maia, A. G.","2","8284067987442342",,8,,,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","3","1114037512202812",,8,,,,,
"José César Cruz Júnior.","JUNIOR., J. C. C.","4","0086426315229286",,8,,,,,
"Leandro S. Maciel","Leandro S. Maciel","1","8223366539713305",,9,,,,,
