NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,DEMAIS-TRABALHOS_Id
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",77,,,,,,,,,,,,,,,
"Milton Elvis Zevallos Alcahuaman","ALCAHUAMAN, Milton Elvis Zevallos","1","3226659654605788",78,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",78,,,,,,,,,,,,,,,
"Marcos de Araujo Paz","PAZ, Marcos de Araujo","1","3537147442008055",79,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",79,,,,,,,,,,,,,,,
"Milton Elvis Zevallos Alcahuaman","ALCAHUAMAN, Milton Elvis Zevallos","1","3226659654605788",80,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",80,,,,,,,,,,,,,,,
"Patrícia Mestas Valero","VALERO, Patrícia Mestas","1","5092857787801476",81,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",81,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","1","",82,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",82,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","1","",83,,,,,,,,,,,,,,,
"Portela, C.M.","Portela, C.M.","2","3563809681641435",83,,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","3","7870647855005820",83,,,,,,,,,,,,,,,
"Alessandra Camara","Camara, Alessandra","1","",84,,,,,,,,,,,,,,,
"Ricardo Gonçalves","Gonçalves, Ricardo","2","",84,,,,,,,,,,,,,,,
"Marcelo Rodrigues","Rodrigues, Marcelo","3","9939719199826679",84,,,,,,,,,,,,,,,
"Orsino Oliveira","Oliveira, Orsino","4","",84,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","5","3563809681641435",84,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","6","",84,,,,,,,,,,,,,,,
"Alessandra Camara","Camara, Alessandra","1","",85,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",85,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","3","",85,,,,,,,,,,,,,,,
"Alessandra Camara","Camara, Alessandra","1","",86,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",86,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","3","",86,,,,,,,,,,,,,,,
"Allan Alves Montanari","MONTANARI, Allan Alves","1","",87,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",87,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",87,,,,,,,,,,,,,,,
